0807
INFO:root:Epoch[12] Batch [440]	Speed: 686.80 samples/sec	acc=0.478255
INFO:root:Epoch[12] Batch [460]	Speed: 682.39 samples/sec	acc=0.482552
INFO:root:Epoch[12] Batch [480]	Speed: 677.08 samples/sec	acc=0.484505
INFO:root:Epoch[12] Batch [500]	Speed: 675.21 samples/sec	acc=0.490495
INFO:root:Epoch[12] Batch [520]	Speed: 679.00 samples/sec	acc=0.486068
INFO:root:Epoch[12] Batch [540]	Speed: 679.97 samples/sec	acc=0.475000
INFO:root:Epoch[12] Batch [560]	Speed: 684.28 samples/sec	acc=0.487760
INFO:root:Epoch[12] Batch [580]	Speed: 674.26 samples/sec	acc=0.482031
INFO:root:Epoch[12] Batch [600]	Speed: 685.69 samples/sec	acc=0.480599
INFO:root:Epoch[12] Batch [620]	Speed: 673.11 samples/sec	acc=0.489844
INFO:root:Epoch[12] Batch [640]	Speed: 669.45 samples/sec	acc=0.483984
INFO:root:Epoch[12] Batch [660]	Speed: 679.06 samples/sec	acc=0.492448
INFO:root:Epoch[12] Batch [680]	Speed: 685.81 samples/sec	acc=0.491146
INFO:root:Epoch[12] Batch [700]	Speed: 675.98 samples/sec	acc=0.479818
INFO:root:Epoch[12] Batch [720]	Speed: 678.68 samples/sec	acc=0.480599
INFO:root:Epoch[12] Batch [740]	Speed: 677.47 samples/sec	acc=0.482161
INFO:root:Epoch[12] Batch [760]	Speed: 677.04 samples/sec	acc=0.476562
INFO:root:Epoch[12] Batch [780]	Speed: 666.13 samples/sec	acc=0.471615
INFO:root:Epoch[12] Batch [800]	Speed: 678.68 samples/sec	acc=0.481771
INFO:root:Epoch[12] Batch [820]	Speed: 678.69 samples/sec	acc=0.486979
lr-batch-epoch: 0.001 835 12
INFO:root:Epoch[12] Batch [840]	Speed: 674.11 samples/sec	acc=0.486979
INFO:root:Epoch[12] Batch [860]	Speed: 673.83 samples/sec	acc=0.481510
INFO:root:Epoch[12] Batch [880]	Speed: 682.62 samples/sec	acc=0.481380
INFO:root:Epoch[12] Batch [900]	Speed: 683.25 samples/sec	acc=0.482682
